               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,             0.03941,            0.015626,                   0,             0.72283,             0.65616,             0.70231,             0.27322,            0.051637,            0.013591,                   0,           0.0039279,           0.0039279,           0.0039279
                 103,            0.038907,            0.016088,                   0,             0.75805,             0.70149,             0.75007,              0.2994,            0.049181,            0.012689,                   0,           0.0038567,           0.0038567,           0.0038567
                 104,            0.038665,            0.015339,                   0,             0.76529,             0.70362,             0.75007,             0.29012,            0.049605,            0.012978,                   0,           0.0037864,           0.0037864,           0.0037864
                 105,            0.038493,            0.015081,                   0,             0.79291,             0.67804,             0.74557,             0.28211,            0.050044,            0.013266,                   0,           0.0037171,           0.0037171,           0.0037171
                 106,            0.038651,            0.015225,                   0,             0.81541,             0.66951,             0.76057,             0.29288,            0.050331,            0.012954,                   0,           0.0036489,           0.0036489,           0.0036489
                 107,            0.038214,              0.0158,                   0,             0.77686,             0.69083,             0.74979,             0.28966,            0.050637,            0.013045,                   0,           0.0035816,           0.0035816,           0.0035816
                 108,            0.037311,            0.014997,                   0,             0.78905,             0.71002,             0.76987,             0.29553,            0.050162,             0.01291,                   0,           0.0035154,           0.0035154,           0.0035154
                 109,            0.038368,            0.015709,                   0,             0.76276,             0.69936,             0.75294,             0.29519,            0.050583,            0.012925,                   0,           0.0034503,           0.0034503,           0.0034503
                 110,            0.037054,            0.015611,                   0,              0.8092,             0.71642,             0.76685,             0.29321,            0.049808,            0.012949,                   0,           0.0033863,           0.0033863,           0.0033863
                 111,            0.037963,            0.015502,                   0,             0.75172,             0.67804,             0.72125,             0.28055,            0.051278,            0.013259,                   0,           0.0033235,           0.0033235,           0.0033235
                 112,            0.037299,            0.015115,                   0,             0.77484,             0.69083,             0.75693,             0.29382,            0.050089,            0.013177,                   0,           0.0032618,           0.0032618,           0.0032618
                 113,            0.037263,            0.015339,                   0,             0.71484,             0.67377,             0.70713,             0.26793,            0.052005,            0.013783,                   0,           0.0032013,           0.0032013,           0.0032013
                 114,            0.037294,            0.015689,                   0,             0.71376,             0.70715,             0.73113,             0.27597,            0.051265,            0.013335,                   0,           0.0031421,           0.0031421,           0.0031421
                 115,            0.037365,            0.015338,                   0,             0.79411,             0.74836,             0.78767,              0.3059,            0.049159,            0.013153,                   0,           0.0030841,           0.0030841,           0.0030841
                 116,             0.03695,            0.014973,                   0,             0.78769,             0.71985,             0.76769,             0.29837,            0.049553,            0.012929,                   0,           0.0030274,           0.0030274,           0.0030274
                 117,            0.036981,            0.014976,                   0,             0.79196,             0.67368,             0.74644,             0.28979,            0.049921,            0.013093,                   0,            0.002972,            0.002972,            0.002972
                 118,            0.036049,            0.015288,                   0,             0.77019,             0.70789,             0.74421,             0.28656,            0.050202,            0.013278,                   0,           0.0029179,           0.0029179,           0.0029179
                 119,            0.036914,            0.015172,                   0,             0.73624,             0.71429,             0.73374,             0.28048,            0.051108,            0.013384,                   0,           0.0028652,           0.0028652,           0.0028652
                 120,            0.036199,            0.015174,                   0,             0.78003,             0.65025,             0.72292,             0.28286,            0.051042,            0.013269,                   0,           0.0028139,           0.0028139,           0.0028139
                 121,            0.036622,            0.015016,                   0,             0.77108,             0.69667,              0.7478,             0.29123,            0.050456,            0.013157,                   0,           0.0027639,           0.0027639,           0.0027639
                 122,            0.035943,            0.015076,                   0,             0.72523,             0.74414,             0.74231,             0.28849,            0.050311,            0.013314,                   0,           0.0027154,           0.0027154,           0.0027154
                 123,            0.037097,            0.015228,                   0,             0.77722,             0.66948,             0.73182,             0.28355,            0.050416,            0.013392,                   0,           0.0026683,           0.0026683,           0.0026683
                 124,            0.035857,            0.013967,                   0,              0.7735,             0.72281,             0.77248,             0.29512,            0.049955,            0.013224,                   0,           0.0026227,           0.0026227,           0.0026227
                 125,             0.03644,            0.015266,                   0,             0.74504,             0.72281,             0.75441,             0.28787,            0.050496,            0.013161,                   0,           0.0025785,           0.0025785,           0.0025785
                 126,            0.036217,            0.014985,                   0,             0.71454,             0.73117,             0.73889,             0.28705,            0.050993,            0.013191,                   0,           0.0025359,           0.0025359,           0.0025359
                 127,            0.036455,             0.01485,                   0,             0.77708,             0.67804,             0.74538,             0.28463,            0.050925,            0.013534,                   0,           0.0024948,           0.0024948,           0.0024948
                 128,            0.035674,            0.013928,                   0,             0.79591,             0.66525,             0.74543,             0.28722,            0.050615,              0.0133,                   0,           0.0024552,           0.0024552,           0.0024552
                 129,            0.035443,            0.014656,                   0,             0.80892,             0.69502,             0.75996,              0.2891,            0.050318,            0.013308,                   0,           0.0024172,           0.0024172,           0.0024172
                 130,            0.036153,            0.015033,                   0,             0.80045,             0.71842,             0.76071,             0.29333,            0.049808,            0.013414,                   0,           0.0023807,           0.0023807,           0.0023807
                 131,            0.035717,            0.014698,                   0,             0.74403,             0.70035,             0.72925,             0.28299,            0.051084,            0.013535,                   0,           0.0023458,           0.0023458,           0.0023458
                 132,            0.036001,            0.014973,                   0,             0.78094,             0.69931,             0.73336,             0.28137,            0.050965,            0.013478,                   0,           0.0023125,           0.0023125,           0.0023125
                 133,            0.035332,            0.014766,                   0,             0.73865,             0.69936,             0.72441,             0.28357,            0.051096,            0.013471,                   0,           0.0022809,           0.0022809,           0.0022809
                 134,            0.034802,            0.014555,                   0,             0.74109,             0.71405,             0.74593,             0.28565,            0.050569,            0.013505,                   0,           0.0022509,           0.0022509,           0.0022509
